,r2,r2_adj,rmse,mae,time,CV_mean_mae,CV_mean_r2,CV_mean_r2_adj,CV_mean_rmse,CV_sd_mae,CV_sd_r2,CV_sd_r2_adj,CV_sd_rmse
Lasso w/Selected Features,"[0.41568902299210464, 0.38282216049651185, 0.47009866625013774, 0.4673085694277386, 0.4760338165177538, 0.4571898748305425, 0.48140645806757965, 0.44177211881237155, 0.4596656657342494, 0.5037794515984859]","[0.4035285448025543, 0.3699776685193321, 0.4590705427589856, 0.4562223794054231, 0.4651292133235343, 0.4458930980320106, 0.4706136684331901, 0.43015447300201515, 0.44842041424068535, 0.493452280976186]","[47994.379633236764, 53584.05681339106, 50090.08329210647, 50339.98673197863, 50112.94859654328, 51663.93486831142, 50398.08132399433, 51705.180679840814, 51384.033372080245, 47041.822944484884]","[29034.64306653732, 32974.838342325056, 30843.352843028715, 30665.426300392184, 29995.172901217396, 32334.703829667902, 31474.75473557767, 32072.567957904077, 32153.812785078197, 29167.333913861177]",0.3613016605377197,31071.6607,0.4556,0.4442,50431.4508,1292.4626,0.0329,0.0336,1778.8786
Lasso w/All Features,"[0.4329616394598783, 0.40447498950013605, 0.4789762400945373, 0.48224475132159883, 0.4872480869256838, 0.47124584442229833, 0.4892520530082728, 0.4540043084031523, 0.4669656167939783, 0.5081385865609553]","[0.38872018495619853, 0.35801095021937746, 0.4383249357502649, 0.4418484626884488, 0.4472421684330723, 0.4299913993167854, 0.44940248791331383, 0.4114046445532884, 0.42537721986251953, 0.46976258617175515]","[47279.685605437495, 52635.703454322065, 49668.72500869162, 49629.225375209564, 49573.7728276626, 50990.633420563296, 50015.40221848258, 51135.54700031061, 51035.75227527796, 46834.74365822844]","[28508.60219169361, 32535.194410521293, 30546.841401072943, 29943.619043524755, 29767.897193255638, 31932.132254881748, 31027.85208211763, 31422.144125411745, 31759.396829126006, 28926.380219965515]",1.991642951965332,30637.006,0.4676,0.426,49879.9191,1265.308,0.0287,0.0309,1673.1534
RF w/Selected Features,"[0.4683209531895399, 0.5061712751244793, 0.5397763027991569, 0.5429486775059581, 0.5329529840826974, 0.5278476524721448, 0.49750707944839767, 0.5210744156692894, 0.5229020897285434, 0.5469014635234983]","[0.45725583254832336, 0.49589388230709075, 0.5301982862080883, 0.5334366832813162, 0.5232329629397775, 0.5180213809315026, 0.4870493703838482, 0.5111071818642798, 0.5129728928446421, 0.5374717333158708]","[45781.82832819823, 47931.23319795983, 46680.84791860467, 46629.17445260695, 47312.79757822593, 48184.19267627563, 49609.565651043995, 47891.927568812265, 48283.713679364904, 44951.38739643098]","[30374.739741796373, 32300.675455714303, 31313.152997517216, 31017.86329603599, 31807.84116727027, 33024.711025706674, 33293.69512018966, 32122.77293692683, 32710.156291514115, 31106.88927978864]",273.51153802871704,31907.2497,0.5206,0.5107,47325.6668,903.3188,0.0229,0.0234,1283.7513
RF w/All Features,"[0.4912491258031233, 0.5304229838538417, 0.5653716988265536, 0.5619980141122898, 0.5600714955760696, 0.54807912347633, 0.5244129447463377, 0.5436156395460008, 0.5294570973634057, 0.5728540797637793]","[0.45155537627787246, 0.4937856562204601, 0.5314611390646693, 0.5278242327957762, 0.525747403472664, 0.5128193627805272, 0.4873067019737992, 0.5080076290050843, 0.4927444093554957, 0.5395273101629313]","[44783.80025727831, 46739.47659217352, 45364.199189223844, 45647.10943169412, 45918.678264116665, 47140.557265252704, 48263.127758705115, 46751.29818690912, 47950.873435136025, 43645.040632243516]","[29228.03074422617, 31299.592056657377, 30023.266275474267, 29930.751084895746, 30554.194979159438, 31808.770485043064, 32274.520541423586, 30806.313424837255, 32182.265046713583, 29543.73094167995]",592.2617695331573,30765.1436,0.5428,0.5071,46220.4161,1039.644,0.0233,0.0251,1356.9941
LGBM w/Selected Features,"[0.49329195524125025, 0.5288406394553424, 0.5815082825759714, 0.5592026567100516, 0.5580815656043501, 0.5670762383443932, 0.541708941655872, 0.5521802743459387, 0.5254267170855017, 0.5833976608776514]","[0.48274652246791516, 0.519035033616744, 0.5727987775307263, 0.5500289346852869, 0.5488845118188006, 0.5580663785804888, 0.532171146477014, 0.5428604049254588, 0.5155500618739617, 0.5747274769208908]","[44693.797770309204, 46818.159903685584, 44514.10860797092, 45792.539188353156, 46022.41314047056, 46139.11094209467, 47377.3911870393, 46310.54669853486, 48155.794367308874, 43103.01234863724]","[28999.935541626735, 31213.044213291272, 29924.45414041941, 30355.437437811262, 30533.873969060045, 30966.358130167304, 31648.03872583559, 30066.422795920767, 32481.408232149268, 29454.06205486535]",11.014050006866455,30564.3035,0.5491,0.5397,45892.6874,990.6569,0.0262,0.0268,1398.7419
LGBM w/All Features,"[0.5203770165435045, 0.5474695141740726, 0.6035698872422046, 0.5761092779653187, 0.5825891104708949, 0.5775011375687893, 0.5555007644783211, 0.5708219375636967, 0.5431824098833333, 0.6138584955757553]","[0.48295588266942635, 0.5121621905546871, 0.5726396256973656, 0.5430364853670084, 0.5500218872219207, 0.5445369406098706, 0.5208200548936626, 0.5373366162087764, 0.5075405979071979, 0.5837309716041934]","[43482.88520702548, 45883.26874574595, 43324.8996573944, 44905.7751114891, 44728.07577698647, 45580.205839363254, 46659.05730334153, 45336.40251584687, 47246.35599183506, 41497.316478413]","[27697.056999951994, 30330.46444927476, 28577.54320024727, 29275.041552208808, 29425.114275220567, 30349.238904788977, 30773.373630003676, 29041.918669464678, 31390.846673595606, 27864.3332023707]",11.919825792312622,29472.4932,0.5691,0.5355,44864.4243,1168.036,0.0268,0.0289,1621.8495
Dummy Regressor,"[-0.006572846139680122, -1.1156676677170907e-05, -0.0003292278920135061, -9.844923271384864e-05, -8.04862196832623e-05, -0.0031086222597034308, -0.0007580858851166106, -8.961713107158431e-07, -0.0006465612886048522, -0.00042351473171065024]","[-0.08510765061871006, -0.07803400516463777, -0.07837689292534655, -0.078128108458563, -0.07810874393572442, -0.0813731411393066, -0.07883921126736193, -0.07802294411434696, -0.07871898530123222, -0.07847853621077827]","[62992.807560474954, 68207.61303092506, 68821.75238275417, 68975.77971252584, 69233.42299303444, 70232.3971459892, 70010.79427903173, 69203.56900599106, 69925.77080509187, 66794.1944259099]","[47641.819855152426, 51428.206694707034, 52393.35668048866, 51796.14325729159, 52013.1198474556, 53022.44178581749, 52947.36881587516, 51606.608590519834, 52450.909481091876, 50253.568085000465]",0.07306075096130371,51555.3543,-0.0012,-0.0793,68439.8101,1512.9785,0.002,0.0021,2048.5979
Lasso validation w/Selected Features,0.5208938337718318,0.5066191641108164,47023.21826449038,33704.930841330206,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso validation w/All Features,0.5348672480440989,0.5210089075535957,46332.414099827,33278.782468420606,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF validation w/Selected Features,0.5420957947253369,0.5284528242786306,45970.98239581003,31348.00397972589,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF validation w/All Features,0.5640318374988484,0.551042437776825,44856.34220146107,30059.4319084491,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB validation w/Selected Features,0.5705112162873078,0.5577148656185704,44521.76592038473,30126.059780089105,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB validation w/All Features,0.5999637706230825,0.5880449404570056,42968.09813277713,28768.580587583336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy Classifier validation,-2.3397147184134326e-05,-0.029818471086525244,67936.24665163115,50929.05562176198,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
