Subject,Phase_vs_phase,model,Silhouette_Manhalanobis
100,GaussianMixture,phase1_vs_phase2,0.42629578199815854
100,GaussianMixture,phase1_vs_phase3,0.4689498719634856
100,GaussianMixture,phase1_vs_phase4,0.231711029836468
100,GaussianMixture,phase1_vs_phase5,0.31967501406632104
208,GaussianMixture,phase1_vs_phase2,0.44451323073295856
208,GaussianMixture,phase1_vs_phase3,0.2308722171833947
208,GaussianMixture,phase1_vs_phase4,0.16681202469965534
208,GaussianMixture,phase1_vs_phase5,0.15135884076790726
209,GaussianMixture,phase1_vs_phase2,0.17123713901942567
209,GaussianMixture,phase1_vs_phase3,0.1650650143749948
209,GaussianMixture,phase1_vs_phase4,0.2307182043151757
209,GaussianMixture,phase1_vs_phase5,0.16122516605558246
210,GaussianMixture,phase1_vs_phase2,0.20656050390046587
210,GaussianMixture,phase1_vs_phase3,0.23117272835385552
210,GaussianMixture,phase1_vs_phase4,0.22664292620133047
210,GaussianMixture,phase1_vs_phase5,0.1729408646244176
211,GaussianMixture,phase1_vs_phase2,0.1520766970819239
211,GaussianMixture,phase1_vs_phase3,0.16715095355902077
211,GaussianMixture,phase1_vs_phase4,0.17647180820473327
211,GaussianMixture,phase1_vs_phase5,0.2534657620629935
212,GaussianMixture,phase1_vs_phase2,0.3482415915979443
212,GaussianMixture,phase1_vs_phase3,0.23038815567320622
212,GaussianMixture,phase1_vs_phase4,0.2321789500264212
212,GaussianMixture,phase1_vs_phase5,0.22032694926528365
215,GaussianMixture,phase1_vs_phase2,0.22393854636076893
215,GaussianMixture,phase1_vs_phase3,0.274903970574894
215,GaussianMixture,phase1_vs_phase4,0.2962649038061626
215,GaussianMixture,phase1_vs_phase5,0.26137877511079755
216,GaussianMixture,phase1_vs_phase2,0.2620011947811837
216,GaussianMixture,phase1_vs_phase3,0.15776089780321095
216,GaussianMixture,phase1_vs_phase4,0.2529205770747973
216,GaussianMixture,phase1_vs_phase5,0.24043255999216429
217,GaussianMixture,phase1_vs_phase2,0.22253697053436386
217,GaussianMixture,phase1_vs_phase3,0.21980227124221996
217,GaussianMixture,phase1_vs_phase4,0.17543947905181106
217,GaussianMixture,phase1_vs_phase5,0.20198538198892088
219,GaussianMixture,phase1_vs_phase2,0.25547386999301425
219,GaussianMixture,phase1_vs_phase3,0.23192873728226948
219,GaussianMixture,phase1_vs_phase4,0.2224375171797406
219,GaussianMixture,phase1_vs_phase5,0.21747458170897677
220,GaussianMixture,phase1_vs_phase2,0.18459489154637507
220,GaussianMixture,phase1_vs_phase3,0.2253997778044981
220,GaussianMixture,phase1_vs_phase4,0.21819222932187596
220,GaussianMixture,phase1_vs_phase5,0.18893278374244526
231,GaussianMixture,phase1_vs_phase2,0.22557734516830472
231,GaussianMixture,phase1_vs_phase3,0.24065681472721323
231,GaussianMixture,phase1_vs_phase4,0.24793235012331313
231,GaussianMixture,phase1_vs_phase5,0.24120027958075888
233,GaussianMixture,phase1_vs_phase2,0.20848944634572938
233,GaussianMixture,phase1_vs_phase3,0.21208710426893176
233,GaussianMixture,phase1_vs_phase4,0.2461087093773075
233,GaussianMixture,phase1_vs_phase5,0.2455710776673217
235,GaussianMixture,phase1_vs_phase2,0.24378913017498996
235,GaussianMixture,phase1_vs_phase3,0.2319100238318266
235,GaussianMixture,phase1_vs_phase4,0.28626314423698823
235,GaussianMixture,phase1_vs_phase5,0.23073953050262763
237,GaussianMixture,phase1_vs_phase2,0.2464535407091539
237,GaussianMixture,phase1_vs_phase3,0.22875721526580728
237,GaussianMixture,phase1_vs_phase4,0.25413840709172303
237,GaussianMixture,phase1_vs_phase5,0.2397240919213392
239,GaussianMixture,phase1_vs_phase2,0.25450267660800624
239,GaussianMixture,phase1_vs_phase3,0.2127842810895292
239,GaussianMixture,phase1_vs_phase4,0.15996059466191898
239,GaussianMixture,phase1_vs_phase5,0.20395199719768256
244,GaussianMixture,phase1_vs_phase2,0.184493688142067
244,GaussianMixture,phase1_vs_phase3,0.19228844824669653
244,GaussianMixture,phase1_vs_phase4,0.17642528389195478
244,GaussianMixture,phase1_vs_phase5,0.09327856913536377
245,GaussianMixture,phase1_vs_phase2,0.22454218386530997
245,GaussianMixture,phase1_vs_phase3,0.14802072871658664
245,GaussianMixture,phase1_vs_phase4,0.16774709428108367
245,GaussianMixture,phase1_vs_phase5,0.19831745798121628
246,GaussianMixture,phase1_vs_phase2,0.22132390336770286
246,GaussianMixture,phase1_vs_phase3,0.5201349986239124
246,GaussianMixture,phase1_vs_phase4,0.2092745266836202
246,GaussianMixture,phase1_vs_phase5,0.25213635374571636
256,GaussianMixture,phase1_vs_phase2,0.1989486927289145
256,GaussianMixture,phase1_vs_phase3,0.2859193997997057
256,GaussianMixture,phase1_vs_phase4,0.23181708241590623
256,GaussianMixture,phase1_vs_phase5,0.23357432409161244
260,GaussianMixture,phase1_vs_phase2,0.20016208751682457
260,GaussianMixture,phase1_vs_phase3,0.2045391778047489
260,GaussianMixture,phase1_vs_phase4,0.15340791664798054
260,GaussianMixture,phase1_vs_phase5,0.1825761229737283
261,GaussianMixture,phase1_vs_phase2,0.16471575800315033
261,GaussianMixture,phase1_vs_phase3,0.23303766142087834
261,GaussianMixture,phase1_vs_phase4,0.1608867036026695
261,GaussianMixture,phase1_vs_phase5,0.12764426538741858
263,GaussianMixture,phase1_vs_phase2,0.15630624656502637
263,GaussianMixture,phase1_vs_phase3,0.15769237252243043
263,GaussianMixture,phase1_vs_phase4,0.22258019356821762
263,GaussianMixture,phase1_vs_phase5,0.15961565829990354
264,GaussianMixture,phase1_vs_phase2,0.15310201876654386
264,GaussianMixture,phase1_vs_phase3,0.14645688373816892
264,GaussianMixture,phase1_vs_phase4,0.14132036352976396
264,GaussianMixture,phase1_vs_phase5,0.12617586929383842
269,GaussianMixture,phase1_vs_phase2,0.22098344263129768
269,GaussianMixture,phase1_vs_phase3,0.23168488383580213
269,GaussianMixture,phase1_vs_phase4,0.2569246693246616
269,GaussianMixture,phase1_vs_phase5,0.24941329733728562
278,GaussianMixture,phase1_vs_phase2,0.2648760728284009
278,GaussianMixture,phase1_vs_phase3,0.2583925418110424
278,GaussianMixture,phase1_vs_phase4,0.20683204042871253
278,GaussianMixture,phase1_vs_phase5,0.17130182938668914
279,GaussianMixture,phase1_vs_phase2,0.22384865513366697
279,GaussianMixture,phase1_vs_phase3,0.2466030885605943
279,GaussianMixture,phase1_vs_phase4,0.19765118137904691
279,GaussianMixture,phase1_vs_phase5,0.22788380806597702
280,GaussianMixture,phase1_vs_phase2,0.2515358307734619
280,GaussianMixture,phase1_vs_phase3,0.1845817038401888
280,GaussianMixture,phase1_vs_phase4,0.27120843892675045
280,GaussianMixture,phase1_vs_phase5,0.2865699734237561
281,GaussianMixture,phase1_vs_phase2,0.10106482852707545
281,GaussianMixture,phase1_vs_phase3,0.18215063782488347
281,GaussianMixture,phase1_vs_phase4,0.1885925638806567
281,GaussianMixture,phase1_vs_phase5,0.16839375418054284
282,GaussianMixture,phase1_vs_phase2,0.20880124314534626
282,GaussianMixture,phase1_vs_phase3,0.3764002947145083
282,GaussianMixture,phase1_vs_phase4,0.28693034897202396
282,GaussianMixture,phase1_vs_phase5,0.2509697694321763
283,GaussianMixture,phase1_vs_phase2,0.22910441200633522
283,GaussianMixture,phase1_vs_phase3,0.15717843024819228
283,GaussianMixture,phase1_vs_phase4,0.16406249745615992
283,GaussianMixture,phase1_vs_phase5,0.15503691295782554
284,GaussianMixture,phase1_vs_phase2,0.183040228290872
284,GaussianMixture,phase1_vs_phase3,0.16511980552660843
284,GaussianMixture,phase1_vs_phase4,0.23859042339031108
284,GaussianMixture,phase1_vs_phase5,0.2621386610941293
285,GaussianMixture,phase1_vs_phase2,0.22317405616523817
285,GaussianMixture,phase1_vs_phase3,0.2419033859032391
285,GaussianMixture,phase1_vs_phase4,0.2528712015069939
285,GaussianMixture,phase1_vs_phase5,0.29508794891434503
287,GaussianMixture,phase1_vs_phase2,0.21534033483983583
287,GaussianMixture,phase1_vs_phase3,0.16130173758762995
287,GaussianMixture,phase1_vs_phase4,0.26475386401965234
287,GaussianMixture,phase1_vs_phase5,0.22980345210292846
288,GaussianMixture,phase1_vs_phase2,0.23807622920243188
288,GaussianMixture,phase1_vs_phase3,0.15319991450308032
288,GaussianMixture,phase1_vs_phase4,0.23834401368059419
288,GaussianMixture,phase1_vs_phase5,0.23300463951465547
289,GaussianMixture,phase1_vs_phase2,0.14573007378282846
289,GaussianMixture,phase1_vs_phase3,0.14819736951018667
289,GaussianMixture,phase1_vs_phase4,0.16499907670488692
289,GaussianMixture,phase1_vs_phase5,0.15406080502732233
292,GaussianMixture,phase1_vs_phase2,0.46268067725315093
292,GaussianMixture,phase1_vs_phase3,0.21042578768837733
292,GaussianMixture,phase1_vs_phase4,0.23062153316861475
292,GaussianMixture,phase1_vs_phase5,0.23254048697116275
304,GaussianMixture,phase1_vs_phase2,0.23486291887682878
304,GaussianMixture,phase1_vs_phase3,0.1620127921408283
304,GaussianMixture,phase1_vs_phase4,0.23655505997775728
304,GaussianMixture,phase1_vs_phase5,0.14573018761276305
305,GaussianMixture,phase1_vs_phase2,0.18544214227940686
305,GaussianMixture,phase1_vs_phase3,0.20428811836632912
305,GaussianMixture,phase1_vs_phase4,0.21265293584835704
305,GaussianMixture,phase1_vs_phase5,0.2178995879684751
306,GaussianMixture,phase1_vs_phase2,0.5874658402325649
306,GaussianMixture,phase1_vs_phase3,0.5822525714246175
306,GaussianMixture,phase1_vs_phase4,0.23631358194094562
306,GaussianMixture,phase1_vs_phase5,0.46525156150442537
307,GaussianMixture,phase1_vs_phase2,0.21404696037929158
307,GaussianMixture,phase1_vs_phase3,0.1710033996343399
307,GaussianMixture,phase1_vs_phase4,0.22262230138093056
307,GaussianMixture,phase1_vs_phase5,0.23825535545111126
308,GaussianMixture,phase1_vs_phase2,0.2421436611575222
308,GaussianMixture,phase1_vs_phase3,0.18338151490264
308,GaussianMixture,phase1_vs_phase4,0.20345459957799727
308,GaussianMixture,phase1_vs_phase5,0.14794271325883382
309,GaussianMixture,phase1_vs_phase2,0.22088756031656126
309,GaussianMixture,phase1_vs_phase3,0.18805239057189066
309,GaussianMixture,phase1_vs_phase4,0.21476116583092802
309,GaussianMixture,phase1_vs_phase5,0.21326437045676588
310,GaussianMixture,phase1_vs_phase2,0.2322592863850574
310,GaussianMixture,phase1_vs_phase3,0.09423848662449551
310,GaussianMixture,phase1_vs_phase4,0.2538282677130847
310,GaussianMixture,phase1_vs_phase5,0.24306841585268538
311,GaussianMixture,phase1_vs_phase2,0.17759384285245788
311,GaussianMixture,phase1_vs_phase3,0.23518003838043333
311,GaussianMixture,phase1_vs_phase4,0.22187177822032322
311,GaussianMixture,phase1_vs_phase5,0.3515470430004225
312,GaussianMixture,phase1_vs_phase2,0.16324025498774564
312,GaussianMixture,phase1_vs_phase3,0.15253335423383713
312,GaussianMixture,phase1_vs_phase4,0.17820790010489107
312,GaussianMixture,phase1_vs_phase5,0.18875560173165806
313,GaussianMixture,phase1_vs_phase2,0.1803440621006452
313,GaussianMixture,phase1_vs_phase3,0.20003079068869148
313,GaussianMixture,phase1_vs_phase4,0.2348680504385422
313,GaussianMixture,phase1_vs_phase5,0.23330580226750888
314,GaussianMixture,phase1_vs_phase2,0.200383826098747
314,GaussianMixture,phase1_vs_phase3,0.17589863687176704
314,GaussianMixture,phase1_vs_phase4,0.19155218103556784
314,GaussianMixture,phase1_vs_phase5,0.18727224292187783
315,GaussianMixture,phase1_vs_phase2,0.23487955883870346
315,GaussianMixture,phase1_vs_phase3,0.23306910650142035
315,GaussianMixture,phase1_vs_phase4,0.208696007208264
315,GaussianMixture,phase1_vs_phase5,0.23350191929884306
316,GaussianMixture,phase1_vs_phase2,0.21671488761878435
316,GaussianMixture,phase1_vs_phase3,0.1870354818963214
316,GaussianMixture,phase1_vs_phase4,0.24932997769552623
316,GaussianMixture,phase1_vs_phase5,0.24759781296581138
317,GaussianMixture,phase1_vs_phase2,0.23684515140609497
317,GaussianMixture,phase1_vs_phase3,0.20912881615543824
317,GaussianMixture,phase1_vs_phase4,0.21430585651914444
317,GaussianMixture,phase1_vs_phase5,0.21365412413846666
318,GaussianMixture,phase1_vs_phase2,0.22485286242325814
318,GaussianMixture,phase1_vs_phase3,0.1935291858213663
318,GaussianMixture,phase1_vs_phase4,0.2468427632683973
318,GaussianMixture,phase1_vs_phase5,0.23084444615390956
413,GaussianMixture,phase1_vs_phase2,0.2171318223255873
413,GaussianMixture,phase1_vs_phase3,0.2256976100369942
413,GaussianMixture,phase1_vs_phase4,0.230446140285596
413,GaussianMixture,phase1_vs_phase5,0.24372272301723202
414,GaussianMixture,phase1_vs_phase2,0.23453607547461663
414,GaussianMixture,phase1_vs_phase3,0.17056613091029982
414,GaussianMixture,phase1_vs_phase4,0.222860172915411
414,GaussianMixture,phase1_vs_phase5,0.22503808385163776
415,GaussianMixture,phase1_vs_phase2,0.23811123095871564
415,GaussianMixture,phase1_vs_phase3,0.25798351248246004
415,GaussianMixture,phase1_vs_phase4,0.23688745215423604
415,GaussianMixture,phase1_vs_phase5,0.2411363261564008
416,GaussianMixture,phase1_vs_phase2,0.24294707104956664
416,GaussianMixture,phase1_vs_phase3,0.2512425771701738
416,GaussianMixture,phase1_vs_phase4,0.22115431227330984
416,GaussianMixture,phase1_vs_phase5,0.24206168808647605
423,GaussianMixture,phase1_vs_phase2,0.2740738146404532
423,GaussianMixture,phase1_vs_phase3,0.21576569443014176
423,GaussianMixture,phase1_vs_phase4,0.2194808983043291
423,GaussianMixture,phase1_vs_phase5,0.21599751092961222
424,GaussianMixture,phase1_vs_phase2,0.2001249810656346
424,GaussianMixture,phase1_vs_phase3,0.1636981638731545
424,GaussianMixture,phase1_vs_phase4,0.23699674286735697
424,GaussianMixture,phase1_vs_phase5,0.3467205681750896
425,GaussianMixture,phase1_vs_phase2,0.23187884879359322
425,GaussianMixture,phase1_vs_phase3,0.22411147046254087
425,GaussianMixture,phase1_vs_phase4,0.24590874178599864
425,GaussianMixture,phase1_vs_phase5,0.2642593612479441
437,GaussianMixture,phase1_vs_phase2,0.2148536185732321
437,GaussianMixture,phase1_vs_phase3,0.16222969640499413
437,GaussianMixture,phase1_vs_phase4,0.21889890290368724
437,GaussianMixture,phase1_vs_phase5,0.16293046836815603
439,GaussianMixture,phase1_vs_phase2,0.22058790912715467
439,GaussianMixture,phase1_vs_phase3,0.23857275062384295
439,GaussianMixture,phase1_vs_phase4,0.24990167753491965
439,GaussianMixture,phase1_vs_phase5,0.2469749646959783
440,GaussianMixture,phase1_vs_phase2,0.22093704915042486
440,GaussianMixture,phase1_vs_phase3,0.24269693566466014
440,GaussianMixture,phase1_vs_phase4,0.2442371291839775
440,GaussianMixture,phase1_vs_phase5,0.24482776050671823
441,GaussianMixture,phase1_vs_phase2,0.1395774545979773
441,GaussianMixture,phase1_vs_phase3,0.22906059167179718
441,GaussianMixture,phase1_vs_phase4,0.2525975032506891
441,GaussianMixture,phase1_vs_phase5,0.235501365952253
442,GaussianMixture,phase1_vs_phase2,0.21826985672249652
442,GaussianMixture,phase1_vs_phase3,0.24622433879984587
442,GaussianMixture,phase1_vs_phase4,0.23556715066116551
442,GaussianMixture,phase1_vs_phase5,0.2273154286375744
